model,condition,run,prompt_id,item_id,expected_template,predicted_template,canonical_predicted_template,template_correct,expected_verdict,predicted_verdict,canonical_predicted_verdict,verdict_correct,caveat_applicable,caveat_hit,reason,caveat,raw_response
openai/gpt-oss-120b,A1,1,fr-023-A1,fr-023,hidden-bit-overflow-decomposition,hidden-bit-overflow-decomposition,__other__,True,True,Unknown-from-statement,Unknown-from-statement,True,False,,"The claim expresses each word’s weight as a sum of a “stable value” plus a binary coefficient b (an element of Fin 2) multiplied by a Fibonacci number. This matches the pattern of a hidden‑bit overflow decomposition, where a quantity is split into a base part and a possible overflow bit times a modulus. The statement does not provide enough context (e.g., properties of weight, stableValue, Fold, or the parameter m) to determine whether such a unique b always exists, so its truth cannot be settled from the statement alone.","Assumes the usual definitions of weight, stableValue, Fold, and Nat.fib, and that the modulus Nat.fib(m + 2) is appropriate for","Verdict: Unknown-from-statement  
Template: hidden-bit-overflow-decomposition  
Reason: The claim expresses each word’s weight as a sum of a “stable value” plus a binary coefficient b (an element of Fin 2) multiplied by a Fibonacci number. This matches the pattern of a hidden‑bit overflow decomposition, where a quantity is split into a base part and a possible overflow bit times a modulus. The statement does not provide enough context (e.g., properties of weight, stableValue, Fold, or the parameter m) to determine whether such a unique b always exists, so its truth cannot be settled from the statement alone.  
Caveat: Assumes the usual definitions of weight, stableValue, Fold, and Nat.fib, and that the modulus Nat.fib(m + 2) is appropriate for"
openai/gpt-oss-120b,A1,2,fr-023-A1,fr-023,hidden-bit-overflow-decomposition,hidden-bit-overflow-decomposition,__other__,True,True,Unknown-from-statement,Unknown-from-statement,True,False,,"The statement asserts that any word’s weight can be uniquely expressed as a stable value plus a binary coefficient b (an element of Fin 2) multiplied by a fixed Fibonacci number. This matches the pattern of a hidden‑bit overflow decomposition, where a value is split into a base part and a single‑bit overflow term. The claim’s truth depends on additional properties of weight, stableValue, and the range of the Fibonacci modulus, which are not provided.","Assumes weight(w) and stableValue(Fold w) are natural numbers and that weight(w) lies in the interval [stableValue(Fold w), stableValue(Fold w) + Nat.fib(m + 2)). Under this bound, the binary coefficient b is uniquely","Verdict: Unknown-from-statement  
Template: hidden-bit-overflow-decomposition  
Reason: The statement asserts that any word’s weight can be uniquely expressed as a stable value plus a binary coefficient b (an element of Fin 2) multiplied by a fixed Fibonacci number. This matches the pattern of a hidden‑bit overflow decomposition, where a value is split into a base part and a single‑bit overflow term. The claim’s truth depends on additional properties of weight, stableValue, and the range of the Fibonacci modulus, which are not provided.  
Caveat: Assumes weight(w) and stableValue(Fold w) are natural numbers and that weight(w) lies in the interval [stableValue(Fold w), stableValue(Fold w) + Nat.fib(m + 2)). Under this bound, the binary coefficient b is uniquely"
openai/gpt-oss-120b,A1,3,fr-023-A1,fr-023,hidden-bit-overflow-decomposition,hidden-bit-overflow-decomposition,__other__,True,True,Unknown-from-statement,Unknown-from-statement,True,False,,"The claim expresses each weight as a sum of a “stable value” and a multiple of a fixed modulus (the Fibonacci number Nat.fib(m + 2)) with the multiplier b drawn from Fin 2, i.e. a single hidden bit. This matches the pattern of a hidden‑bit overflow decomposition.","The truth of the statement depends on additional properties of the functions weight, Fold, and stableValue, as well as on the choice of m; without those hypotheses the statement cannot be verified.","Verdict: Unknown-from-statement  
Template: hidden-bit-overflow-decomposition  
Reason: The claim expresses each weight as a sum of a “stable value” and a multiple of a fixed modulus (the Fibonacci number Nat.fib(m + 2)) with the multiplier b drawn from Fin 2, i.e. a single hidden bit. This matches the pattern of a hidden‑bit overflow decomposition.  
Caveat: The truth of the statement depends on additional properties of the functions weight, Fold, and stableValue, as well as on the choice of m; without those hypotheses the statement cannot be verified."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A1,1,fr-023-A1,fr-023,hidden-bit-overflow-decomposition,stable-value-map,stable-value-map,False,True,Unknown-from-statement,Unknown-from-statement,True,False,,"The statement involves the concept of a stable value, which is a key component of the stable-value-map template. It also mentions the weight of a word and its relationship to the stable value of a folded word, suggesting a mapping between these values. However, without more context or information about the specific mathematical structures involved, it's difficult to determine the truth of the statement.","The statement assumes the existence of a unique b : Fin 2, which implies a finite field or ring structure with a specific characteristic, and the use of Nat.fib(m + 2) suggests a relationship with Fibonacci numbers, which may be related to the ring's properties or the folding operation.","Verdict: Unknown-from-statement
Template: stable-value-map
Reason: The statement involves the concept of a stable value, which is a key component of the stable-value-map template. It also mentions the weight of a word and its relationship to the stable value of a folded word, suggesting a mapping between these values. However, without more context or information about the specific mathematical structures involved, it's difficult to determine the truth of the statement.
Caveat: The statement assumes the existence of a unique b : Fin 2, which implies a finite field or ring structure with a specific characteristic, and the use of Nat.fib(m + 2) suggests a relationship with Fibonacci numbers, which may be related to the ring's properties or the folding operation."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A1,2,fr-023-A1,fr-023,hidden-bit-overflow-decomposition,stable-value-map,stable-value-map,False,True,Unknown-from-statement,Unknown-from-statement,True,False,,"The statement involves the concept of a stable value, which is a key component of the stable-value-map template. It also mentions the weight of a word and its relationship to the stable value of a folded word, suggesting a mapping between these values. However, without more context or information about the specific mathematical objects and functions involved, it's difficult to determine the truth of the statement.","The statement assumes the existence of a unique b : Fin 2 for every word w, and the relationship between weight(w) and stableValue(Fold w) is dependent on the value of Nat.fib(m + 2), which may require additional hypotheses or conditions to fully understand.","Verdict: Unknown-from-statement
Template: stable-value-map
Reason: The statement involves the concept of a stable value, which is a key component of the stable-value-map template. It also mentions the weight of a word and its relationship to the stable value of a folded word, suggesting a mapping between these values. However, without more context or information about the specific mathematical objects and functions involved, it's difficult to determine the truth of the statement.
Caveat: The statement assumes the existence of a unique b : Fin 2 for every word w, and the relationship between weight(w) and stableValue(Fold w) is dependent on the value of Nat.fib(m + 2), which may require additional hypotheses or conditions to fully understand."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A1,3,fr-023-A1,fr-023,hidden-bit-overflow-decomposition,stable-value-map,stable-value-map,False,True,Unknown-from-statement,Unknown-from-statement,True,False,,"The statement involves the concept of a ""stable value"" and its relationship to the weight of a word, suggesting a mapping between these two concepts. The presence of the Fold operation and the addition of a term involving Nat.fib also implies a structural connection between the stable value and other mathematical objects. However, without more context or information about the specific definitions and properties being used, it is difficult to determine the truth of the statement.","The statement assumes the existence of a unique b : Fin 2 for every word w, which may depend on specific properties of the weight function, the stableValue function, and the Fold operation, as well as the definition of Nat.fib and its relationship to the parameter m.","Verdict: Unknown-from-statement
Template: stable-value-map
Reason: The statement involves the concept of a ""stable value"" and its relationship to the weight of a word, suggesting a mapping between these two concepts. The presence of the Fold operation and the addition of a term involving Nat.fib also implies a structural connection between the stable value and other mathematical objects. However, without more context or information about the specific definitions and properties being used, it is difficult to determine the truth of the statement.
Caveat: The statement assumes the existence of a unique b : Fin 2 for every word w, which may depend on specific properties of the weight function, the stableValue function, and the Fold operation, as well as the definition of Nat.fib and its relationship to the parameter m."
openai/gpt-oss-120b,A2,1,fr-023-A2,fr-023,hidden-bit-overflow-decomposition,hidden-bit-overflow-decomposition,__other__,True,True,True,True,True,False,,"The statement asserts that each word’s weight can be expressed uniquely as the sum of its stable folded value and a single overflow bit multiplied by the Fibonacci modulus Nat.fib(m + 2). This is precisely the one‑hidden‑bit decomposition pattern, where the overflow bit lives in Fin 2 and captures the excess beyond the stable value. Lean’s proof confirms both existence and uniqueness of this bit, matching the hidden‑bit‑overflow‑decomposition template.","The decomposition holds for a fixed natural parameter m determining the modulus Nat.fib(m + 2); all definitions (weight, stableValue, Fold) are assumed as given in the context.","Verdict: True  
Template: hidden-bit-overflow-decomposition  
Reason: The statement asserts that each word’s weight can be expressed uniquely as the sum of its stable folded value and a single overflow bit multiplied by the Fibonacci modulus Nat.fib(m + 2). This is precisely the one‑hidden‑bit decomposition pattern, where the overflow bit lives in Fin 2 and captures the excess beyond the stable value. Lean’s proof confirms both existence and uniqueness of this bit, matching the hidden‑bit‑overflow‑decomposition template.  
Caveat: The decomposition holds for a fixed natural parameter m determining the modulus Nat.fib(m + 2); all definitions (weight, stableValue, Fold) are assumed as given in the context."
openai/gpt-oss-120b,A2,2,fr-023-A2,fr-023,hidden-bit-overflow-decomposition,hidden-bit-overflow-decomposition,__other__,True,True,True,True,True,False,,The statement asserts that every word’s weight can be expressed uniquely as the sum of its stable folded value and a single overflow bit multiplied by a fixed Fibonacci constant. This is precisely the one‑hidden‑bit decomposition captured by the hidden‑bit‑overflow‑decomposition template.,"The decomposition holds for a fixed natural parameter m (the Fibonacci index) and assumes the definitions of weight, stableValue, and Fold are those used in the Lean development.","Verdict: True  
Template: hidden-bit-overflow-decomposition  
Reason: The statement asserts that every word’s weight can be expressed uniquely as the sum of its stable folded value and a single overflow bit multiplied by a fixed Fibonacci constant. This is precisely the one‑hidden‑bit decomposition captured by the hidden‑bit‑overflow‑decomposition template.  
Caveat: The decomposition holds for a fixed natural parameter m (the Fibonacci index) and assumes the definitions of weight, stableValue, and Fold are those used in the Lean development."
openai/gpt-oss-120b,A2,3,fr-023-A2,fr-023,hidden-bit-overflow-decomposition,hidden-bit-overflow-decomposition,__other__,True,True,True,True,True,False,,The statement asserts that every word’s weight can be expressed uniquely as the sum of its stable folded value and a single overflow bit multiplied by a fixed Fibonacci constant. This is precisely the one‑hidden‑bit decomposition captured by the hidden‑bit‑overflow‑decomposition template.,"The decomposition holds for a fixed natural parameter m (determining the Fibonacci term Nat.fib(m + 2)) and assumes the definitions of weight, stableValue, and Fold are those used in the Lean development.","Verdict: True  
Template: hidden-bit-overflow-decomposition  
Reason: The statement asserts that every word’s weight can be expressed uniquely as the sum of its stable folded value and a single overflow bit multiplied by a fixed Fibonacci constant. This is precisely the one‑hidden‑bit decomposition captured by the hidden‑bit‑overflow‑decomposition template.  
Caveat: The decomposition holds for a fixed natural parameter m (determining the Fibonacci term Nat.fib(m + 2)) and assumes the definitions of weight, stableValue, and Fold are those used in the Lean development."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A2,1,fr-023-A2,fr-023,hidden-bit-overflow-decomposition,hidden-bit-overflow-decomposition,__other__,True,True,True,True,True,False,,"The statement describes a unique decomposition of a word's weight into its stable folded value and a unique overflow bit, which aligns with the concept of decomposing a value into its stable component and an overflow component. This decomposition is a key aspect of the hidden-bit-overflow-decomposition template. The uniqueness of the overflow bit b : Fin 2 suggests a binary choice, which is consistent with the idea of a hidden bit.","The decomposition relies on the stableValue and Fold functions, and the uniqueness of b may depend on the properties of these functions, particularly in relation to the Nat.fib(m + 2) term.","Verdict: True
Template: hidden-bit-overflow-decomposition
Reason: The statement describes a unique decomposition of a word's weight into its stable folded value and a unique overflow bit, which aligns with the concept of decomposing a value into its stable component and an overflow component. This decomposition is a key aspect of the hidden-bit-overflow-decomposition template. The uniqueness of the overflow bit b : Fin 2 suggests a binary choice, which is consistent with the idea of a hidden bit.
Caveat: The decomposition relies on the stableValue and Fold functions, and the uniqueness of b may depend on the properties of these functions, particularly in relation to the Nat.fib(m + 2) term."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A2,2,fr-023-A2,fr-023,hidden-bit-overflow-decomposition,hidden-bit-overflow-decomposition,__other__,True,True,True,True,True,False,,"The statement describes a unique decomposition of a word's weight into its stable folded value and a unique overflow bit, which aligns with the concept of decomposing a value into a stable part and an overflow part. This decomposition is a key aspect of the hidden-bit-overflow-decomposition template. The uniqueness of the overflow bit b : Fin 2 suggests a binary choice, which is consistent with the idea of a hidden bit.","The decomposition relies on the stableValue and Fold functions, as well as the Nat.fib function, being well-defined and behaving as expected for the given word w and index m.","Verdict: True
Template: hidden-bit-overflow-decomposition
Reason: The statement describes a unique decomposition of a word's weight into its stable folded value and a unique overflow bit, which aligns with the concept of decomposing a value into a stable part and an overflow part. This decomposition is a key aspect of the hidden-bit-overflow-decomposition template. The uniqueness of the overflow bit b : Fin 2 suggests a binary choice, which is consistent with the idea of a hidden bit.
Caveat: The decomposition relies on the stableValue and Fold functions, as well as the Nat.fib function, being well-defined and behaving as expected for the given word w and index m."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A2,3,fr-023-A2,fr-023,hidden-bit-overflow-decomposition,hidden-bit-overflow-decomposition,__other__,True,True,True,True,True,False,,"The statement describes a unique decomposition of a word's weight into its stable folded value and a unique overflow bit, which aligns with the concept of decomposing a value into a stable part and an overflow part. This decomposition is a key aspect of the hidden-bit-overflow-decomposition template. The uniqueness of the overflow bit b : Fin 2 suggests a binary choice, which is consistent with the idea of a hidden bit.","The statement assumes that the word w and the function weight(w) are well-defined, and that the stableValue and Fold functions are appropriately defined for the given word w.","Verdict: True
Template: hidden-bit-overflow-decomposition
Reason: The statement describes a unique decomposition of a word's weight into its stable folded value and a unique overflow bit, which aligns with the concept of decomposing a value into a stable part and an overflow part. This decomposition is a key aspect of the hidden-bit-overflow-decomposition template. The uniqueness of the overflow bit b : Fin 2 suggests a binary choice, which is consistent with the idea of a hidden bit.
Caveat: The statement assumes that the word w and the function weight(w) are well-defined, and that the stableValue and Fold functions are appropriately defined for the given word w."
openai/gpt-oss-120b,A1,1,fr-024-A1,fr-024,probabilistic-CRT-reconstruction,probabilistic-CRT-reconstruction,__other__,True,True,Unknown-from-statement,Unknown-from-statement,True,False,,"The statement talks about a “bad‑event” whose total probability (mass) is bounded by ε and asserts that, when this bad event does not occur, the Chinese Remainder Theorem (CRT) reconstruction yields the original value Y, i.e. reconstruct(Y % P) = Y. This matches the pattern of a probabilistic guarantee about CRT reconstruction.","The claim presumes a definition of the bad event (e.g., overflow, modulus collision) and that Y lies within the range covered by the modulus product P; the ε bound is on the probability of that event occurring. Without additional context we cannot confirm the truth of the bound or the reconstruction property.","Verdict: Unknown-from-statement  
Template: probabilistic-CRT-reconstruction  
Reason: The statement talks about a “bad‑event” whose total probability (mass) is bounded by ε and asserts that, when this bad event does not occur, the Chinese Remainder Theorem (CRT) reconstruction yields the original value Y, i.e. reconstruct(Y % P) = Y. This matches the pattern of a probabilistic guarantee about CRT reconstruction.  
Caveat: The claim presumes a definition of the bad event (e.g., overflow, modulus collision) and that Y lies within the range covered by the modulus product P; the ε bound is on the probability of that event occurring. Without additional context we cannot confirm the truth of the bound or the reconstruction property."
openai/gpt-oss-120b,A1,2,fr-024-A1,fr-024,probabilistic-CRT-reconstruction,probabilistic-CRT-reconstruction,__other__,True,True,Unknown-from-statement,Unknown-from-statement,True,False,,"The statement explicitly refers to a “bad-event mass” bounded by ε (a probabilistic guarantee) and asserts that, when the bad event does not occur, the Chinese Remainder Theorem reconstruction satisfies reconstruct(Y % P) = Y. This combination of a probability bound and a CRT reconstruction property matches the probabilistic‑CRT‑reconstruction template.","The claim assumes a well‑defined reconstruction function for Y modulo the product P and that the bound ε is given; without additional context about the underlying ring or the definition of the bad event, the truth of the statement cannot be determined from the statement alone.","Verdict: Unknown-from-statement  
Template: probabilistic-CRT-reconstruction  
Reason: The statement explicitly refers to a “bad-event mass” bounded by ε (a probabilistic guarantee) and asserts that, when the bad event does not occur, the Chinese Remainder Theorem reconstruction satisfies reconstruct(Y % P) = Y. This combination of a probability bound and a CRT reconstruction property matches the probabilistic‑CRT‑reconstruction template.  
Caveat: The claim assumes a well‑defined reconstruction function for Y modulo the product P and that the bound ε is given; without additional context about the underlying ring or the definition of the bad event, the truth of the statement cannot be determined from the statement alone."
