model,condition,run,prompt_id,item_id,expected_template,predicted_template,canonical_predicted_template,template_correct,expected_verdict,predicted_verdict,canonical_predicted_verdict,verdict_correct,caveat_applicable,caveat_hit,reason,caveat,raw_response
openai/gpt-oss-120b,A1,1,fr-001-A1,fr-001,ring-equivalence,ring-equivalence,ring-equivalence,True,True,True,True,True,True,True,The claim explicitly states a ring equivalence (≃+*) between X_m and a ZMod.,none,"Template: ring-equivalence
Verdict: True
Reason: The claim explicitly states a ring equivalence (≃+*) between X_m and a ZMod.
Caveat: none"
openai/gpt-oss-120b,A2,1,fr-001-A2,fr-001,ring-equivalence,ring-equivalence,ring-equivalence,True,True,True,True,True,True,True,The claim directly asserts a ring equivalence between X_m and ZMod (Nat.fib (m + 2)).,none,"Template: ring-equivalence
Verdict: True
Reason: The claim directly asserts a ring equivalence between X_m and ZMod (Nat.fib (m + 2)).
Caveat: none"
openai/gpt-oss-120b,A1,1,fr-002-A1,fr-002,ring-structure,ring-structure,ring-structure,True,True,Unknown-from-statement,Unknown-from-statement,True,True,True,The claim merely asserts a commutative ring structure without providing proof details.,none,"Template: ring-structure
Verdict: Unknown-from-statement
Reason: The claim merely asserts a commutative ring structure without providing proof details.
Caveat: none"
openai/gpt-oss-120b,A2,1,fr-002-A2,fr-002,ring-structure,ring-structure,ring-structure,True,True,True,True,True,True,True,"The claim asserts a commutative ring instance for X m, which is declared in Lean.",none,"Template: ring-structure
Verdict: True
Reason: The claim asserts a commutative ring instance for X m, which is declared in Lean.
Caveat: none"
openai/gpt-oss-120b,A1,1,fr-003-A1,fr-003,operation-bridge,operation-bridge,operation-bridge,True,True,True,True,True,True,True,The claim directly asserts that each ring operation equals its corresponding stable operation.,none,"Template: operation-bridge
Verdict: True
Reason: The claim directly asserts that each ring operation equals its corresponding stable operation.
Caveat: none"
openai/gpt-oss-120b,A2,1,fr-003-A2,fr-003,operation-bridge,operation-bridge,operation-bridge,True,True,True,True,True,True,True,"The statement directly asserts equality between the ring’s basic operations and the corresponding stable operations, which Lean confirms.",none,"Template: operation-bridge
Verdict: True
Reason: The statement directly asserts equality between the ring’s basic operations and the corresponding stable operations, which Lean confirms.
Caveat: none"
openai/gpt-oss-120b,A1,1,fr-004-A1,fr-004,stable-value-map,ring-structure,ring-structure,False,True,Unknown-from-statement,Unknown-from-statement,True,True,False,The claim concerns preservation of ring operations by the toZMod map.,none,"Template: ring-structure
Verdict: Unknown-from-statement
Reason: The claim concerns preservation of ring operations by the toZMod map.
Caveat: none"
openai/gpt-oss-120b,A2,1,fr-004-A2,fr-004,stable-value-map,ring-structure,ring-structure,False,True,True,True,True,True,True,"The claim asserts that toZMod preserves addition, multiplication, zero, and one, i.e., the ring operations.",none,"Template: ring-structure
Verdict: True
Reason: The claim asserts that toZMod preserves addition, multiplication, zero, and one, i.e., the ring operations.
Caveat: none"
openai/gpt-oss-120b,A1,1,fr-005-A1,fr-005,affine-transfer,affine-transfer,affine-transfer,True,True,Conditional,Conditional,False,True,True,The transfer holds only if the equivalence X_m ≃ ZMod(F_{m+2}) preserves the affine magma operations.,Requires verification that the isomorphism respects the affine structure.,"Template: affine-transfer
Verdict: Conditional
Reason: The transfer holds only if the equivalence X_m ≃ ZMod(F_{m+2}) preserves the affine magma operations.
Caveat: Requires verification that the isomorphism respects the affine structure."
openai/gpt-oss-120b,A2,1,fr-005-A2,fr-005,affine-transfer,affine-transfer,affine-transfer,True,True,True,True,True,True,True,Lean proof shows affine magma satisfaction is preserved across the equivalence X_m ≃ ZMod(F_{m+2}).,none,"Template: affine-transfer
Verdict: True
Reason: Lean proof shows affine magma satisfaction is preserved across the equivalence X_m ≃ ZMod(F_{m+2}).
Caveat: none"
openai/gpt-oss-120b,A1,1,fr-006-A1,fr-006,CRT,CRT,CRT,True,True,True,True,True,True,True,The isomorphism follows from the Chinese Remainder Theorem for 21 = 3·7.,Assumes X_6 is defined as ZMod 21 (or an equivalent ring).,"Template: CRT
Verdict: True
Reason: The isomorphism follows from the Chinese Remainder Theorem for 21 = 3·7.
Caveat: Assumes X_6 is defined as ZMod 21 (or an equivalent ring)."
openai/gpt-oss-120b,A2,1,fr-006-A2,fr-006,CRT,CRT,CRT,True,True,True,True,True,True,True,Directly follows from the declared CRT decomposition for 21 = 3 × 7.,none,"Template: CRT
Verdict: True
Reason: Directly follows from the declared CRT decomposition for 21 = 3 × 7.
Caveat: none"
openai/gpt-oss-120b,A1,1,fr-007-A1,fr-007,CRT,ring-equivalence,ring-equivalence,False,True,Conditional,Conditional,False,True,True,The claim follows from the Chinese Remainder Theorem for coprime moduli 2 and 17.,It holds provided X₇ is defined as ℤ/34ℤ (or an equivalent ring).,"Template: ring-equivalence  
Verdict: Conditional  
Reason: The claim follows from the Chinese Remainder Theorem for coprime moduli 2 and 17.  
Caveat: It holds provided X₇ is defined as ℤ/34ℤ (or an equivalent ring)."
openai/gpt-oss-120b,A2,1,fr-007-A2,fr-007,CRT,CRT,CRT,True,True,True,True,True,True,True,The claim is a direct application of the Chinese Remainder Theorem decomposition.,none,"Template: CRT
Verdict: True
Reason: The claim is a direct application of the Chinese Remainder Theorem decomposition.
Caveat: none"
