model,condition,run,prompt_id,item_id,expected_template,predicted_template,canonical_predicted_template,template_correct,expected_verdict,predicted_verdict,canonical_predicted_verdict,verdict_correct,caveat_applicable,caveat_hit,reason,caveat,raw_response
__blank__,A1,0,fr-001-A1,fr-001,ring-equivalence,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-001-A2,fr-001,ring-equivalence,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-002-A1,fr-002,ring-structure,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-002-A2,fr-002,ring-structure,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-003-A1,fr-003,operation-bridge,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-003-A2,fr-003,operation-bridge,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-004-A1,fr-004,stable-value-map,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-004-A2,fr-004,stable-value-map,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-005-A1,fr-005,affine-transfer,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-005-A2,fr-005,affine-transfer,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-006-A1,fr-006,CRT,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-006-A2,fr-006,CRT,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-007-A1,fr-007,CRT,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-007-A2,fr-007,CRT,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-008-A1,fr-008,CRT,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-008-A2,fr-008,CRT,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-009-A1,fr-009,CRT,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-009-A2,fr-009,CRT,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-010-A1,fr-010,prime-power-fiber-specialization,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-010-A2,fr-010,prime-power-fiber-specialization,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-011-A1,fr-011,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-011-A2,fr-011,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-012-A1,fr-012,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-012-A2,fr-012,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-013-A1,fr-013,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-013-A2,fr-013,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-014-A1,fr-014,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-014-A2,fr-014,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-015-A1,fr-015,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-015-A2,fr-015,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-016-A1,fr-016,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-016-A2,fr-016,field-phase,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-017-A1,fr-017,finite-zero-divisor-check,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-017-A2,fr-017,finite-zero-divisor-check,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-018-A1,fr-018,stable-value-arithmetic,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-018-A2,fr-018,stable-value-arithmetic,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-019-A1,fr-019,finite-unit-inverse-check,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-019-A2,fr-019,finite-unit-inverse-check,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-020-A1,fr-020,stable-value-arithmetic,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-020-A2,fr-020,stable-value-arithmetic,,__other__,False,True,,,False,True,False,,,
__blank__,A1,0,fr-021-A1,fr-021,characteristic,,__other__,False,Conditional,,,False,True,False,,,
__blank__,A2,0,fr-021-A2,fr-021,characteristic,,__other__,False,Conditional,,,False,True,False,,,
__blank__,A1,0,fr-022-A1,fr-022,rigidity,,__other__,False,True,,,False,True,False,,,
__blank__,A2,0,fr-022-A2,fr-022,rigidity,,__other__,False,True,,,False,True,False,,,
